date,observed,forecast,error,absolute_error,absolute_percentage_error,lower_95,upper_95
2024-04-01,98.91164,101.51066733831412,-2.599027338314116,2.599027338314116,2.6276253617007215,96.596098478117,106.42523619851124
2024-05-01,106.56448,104.87884889869075,1.685631101309255,1.685631101309255,1.5817945166243526,98.94883910799082,110.80885868939068
2024-06-01,101.571,102.5817921119443,-1.0107921119442977,1.0107921119442977,0.995158176983881,96.05250948090502,109.11107474298358
2024-07-01,105.56995,106.31710854602545,-0.747158546025446,0.747158546025446,0.7077378989243113,99.3862371840285,113.2479799080224
2024-08-01,106.82036,106.10461328500033,0.7157467149996677,0.7157467149996677,0.6700470912096418,98.85333642749444,113.35589014250621
2024-09-01,101.77943,103.48554288057687,-1.7061128805768675,1.7061128805768675,1.676284570051991,95.95277293049995,111.0183128306538
2024-10-01,107.61626,106.58261472103005,1.0336452789699422,1.0336452789699422,0.9604917314260337,98.78975103043415,114.37547841162596
2024-11-01,114.37145,113.33484403382676,1.0366059661732407,1.0366059661732407,0.906350287745098,105.29538461556282,121.37430345209069
2024-12-01,126.6318,129.8506522187331,-3.2188522187331046,3.2188522187331046,2.541898811146256,121.57426800581646,138.12703643164974
2025-01-01,102.73807,102.63985687689984,0.09821312310015173,0.09821312310015173,0.09559564735852225,94.13421497602255,111.14549877777714
2025-02-01,97.386,97.58694552417222,-0.20094552417222644,0.20094552417222644,0.20633923168856555,88.85855927694665,106.3153317713978
2025-03-01,104.48897,106.58117056289339,-2.092200562893396,2.092200562893396,2.0023171468657375,97.63581305625944,115.52652806952734
2025-04-01,104.2224,103.48821297864603,0.7341870213539607,0.7341870213539607,0.704442635512098,93.57518266051964,113.40124329677242
2025-05-01,108.5358,107.18247424129662,1.3533257587033773,1.3533257587033773,1.2468934293600613,96.66301851012517,117.70192997246806
2025-06-01,102.09587,105.06992400908545,-2.9740540090854495,2.9740540090854495,2.913001288970307,94.06162067174024,116.07822734643067
2025-07-01,106.89733,108.89274945612584,-1.9954194561258447,1.9954194561258447,1.8666691264654083,97.46917655895074,120.31632235330095
2025-08-01,107.19768,108.72175855990976,-1.5240785599097535,1.5240785599097535,1.421745843669148,96.9206623779513,120.52285474186822
2025-09-01,102.67319,106.12237312552483,-3.4491831255248258,3.4491831255248258,3.359380501886447,93.96589811898733,118.27884813206234
2025-10-01,108.70921,109.22878128631928,-0.5195712863192767,0.5195712863192767,0.4779459682572219,96.7317892966027,121.72577327603585
2025-11-01,116.0521,115.98543869208966,0.06666130791033709,0.06666130791033709,0.057440845887611766,103.1591553733566,128.8117220108227
2025-12-01,129.65052,132.5033470627937,-2.8528270627936934,2.8528270627936934,2.200397702063743,119.35702837984947,145.64966574573793
2026-01-01,105.5295,105.29354781124378,0.23595218875621526,0.23595218875621526,0.2235888436467673,91.8352695955818,118.75182602690576
2026-02-01,97.77609,100.24110889093318,-2.4650188909331803,2.4650188909331803,2.521085564919993,86.4781571529152,114.00406062895115
2026-03-01,108.63961,109.23555799808707,-0.5959479980870697,0.5959479980870697,0.5485549866085396,95.17463349068971,123.29648250548443
