date,forecast,lower_95,upper_95
2026-04-01,105.58634489581604,100.75320885588319,110.4194809357489
2026-05-01,110.50905056305548,104.75937810210773,116.25872302400323
2026-06-01,105.58351422825878,99.28279802204577,111.88423043447179
2026-07-01,109.87815561094742,103.20087935632664,116.5554318655682
2026-08-01,110.26698601811417,103.28663220455928,117.24733983166905
2026-09-01,106.1481087394262,98.90054475000737,113.39567272884504
2026-10-01,111.30709618008868,103.81230871098634,118.80188364919101
2026-11-01,118.33570180230282,110.60640161118218,126.06500199342346
2026-12-01,132.42469562976095,124.47002339249455,140.37936786702736
2027-01-01,107.48716941569698,99.31437774932938,115.65996108206458
2027-02-01,101.09143058966993,92.70667845865921,109.47618272068064
2027-03-01,110.48965931476157,101.8984028313954,119.08091579812773
