transformacao,adf_stat,adf_pvalue,kpss_stat,kpss_pvalue,n_obs
nivel,-1.019117234744771,0.7462280289943491,2.6723666747201187,0.01,315
diff_1,-3.2281538732321673,0.01841177651469491,0.2905056814647352,0.1,314
diff_sazonal_12,-2.925330459788926,0.04248070851076205,0.2680528908829094,0.1,303
diff_1_e_sazonal_12,-5.7440545969798835,6.179991045293892e-07,0.028463650430821684,0.1,302
