lag,lb_stat,lb_pvalue
6,23.355833500197644,0.000685653409431955
12,77.8210093211493,1.0727511563245108e-11
18,79.96739469813689,8.682582411250046e-10
24,80.9159677475686,4.344913458826936e-08
