date,pmc_volume_index
2022-03-01,96.92398
2022-04-01,96.98576
2022-05-01,100.59259
2022-06-01,96.86423
2022-07-01,99.1827
2022-08-01,99.6294
2022-09-01,97.0433
2022-10-01,101.35957
2022-11-01,106.66694
2022-12-01,123.31739
2023-01-01,95.76611
2023-02-01,89.27505
2023-03-01,100.27768
2023-04-01,97.53955
2023-05-01,99.57233
2023-06-01,98.26606
2023-07-01,101.67025
2023-08-01,102.12442
2023-09-01,100.19779
2023-10-01,101.51743
2023-11-01,109.42248
2023-12-01,124.93408
2024-01-01,99.59489
2024-02-01,95.83814
2024-03-01,105.27825
2024-04-01,98.91164
2024-05-01,106.56448
2024-06-01,101.571
2024-07-01,105.56995
2024-08-01,106.82036
2024-09-01,101.77943
2024-10-01,107.61626
2024-11-01,114.37145
2024-12-01,126.6318
2025-01-01,102.73807
2025-02-01,97.386
2025-03-01,104.48897
2025-04-01,104.2224
2025-05-01,108.5358
2025-06-01,102.09587
2025-07-01,106.89733
2025-08-01,107.19768
2025-09-01,102.67319
2025-10-01,108.70921
2025-11-01,116.0521
2025-12-01,129.65052
2026-01-01,105.5295
2026-02-01,97.77609
2026-03-01,108.63961
